feature	component	loading	boot_mean	boot_sd	stability
TraesCAD_scaffold_019651_01G000400	1	-0.00284038316391418	-0.00247853578814245	0.00538925050465905	0.69
TraesCAD_scaffold_000382_01G000500	1	0.033253951753482	0.0323056286381459	0.0041310030539805	1
TraesCAD_scaffold_848242_01G000100	1	-0.00335049042090173	-0.00318696320709899	0.000684739496003282	1
TraesCAD_scaffold_124306_01G000100	1	0.00139761011597995	0.00138894093448715	0.0010944521711693	0.93
TraesCAD_scaffold_011707_01G000400	1	-0.00927163530660589	-0.00868274664816711	0.00772546651056335	0.875
TraesCAD_scaffold_051037_01G000100	1	-0.0137142597546804	-0.0132115555121183	0.00305902441010174	1
TraesCAD_scaffold_150958_01G000200	1	-0.0108664728443577	-0.0103959748681204	0.00249004379040195	1
TraesCAD_scaffold_000435_01G000100	1	-0.000754419033401965	-0.000744214733033867	0.00213985539220815	0.57
TraesCAD_scaffold_000439_01G000800	1	-0.00271909252845369	-0.00258467530474032	0.00105131585262903	0.99
TraesCAD_scaffold_014112_01G000200	1	-0.0109726202956279	-0.0101484593730303	0.00441996627959392	0.965
TraesCAD_scaffold_155803_01G000100	1	-0.000166657870406984	-0.000124953116902075	0.00185110557308517	0.505
TraesCAD_scaffold_016249_01G000300	1	-0.00819796264449196	-0.00760931093033207	0.00314567469912949	0.995
TraesCAD_scaffold_140121_01G000100	1	-0.00762331706614992	-0.00747956710017632	0.00120488793962056	1
TraesCAD_scaffold_000475_01G000600	1	-0.0121981770259548	-0.0120185337361829	0.00152680825140389	1
TraesCAD_scaffold_000476_01G000500	1	-0.0103161107427698	-0.0100804281826394	0.00169049454504571	1
TraesCAD_scaffold_000479_01G000100	1	-0.00240179405401412	-0.00230589185769991	0.000965271062183057	0.98
TraesCAD_scaffold_039608_01G000300	1	0.0024988081317159	0.00244100101349429	0.00071828267741896	1
TraesCAD_scaffold_011517_01G000300	1	-0.00154143055771976	-0.00113669155592656	0.00244910086128634	0.69
