"gene_id","amplitude","regulated","rna_responds","lrt_fdr","lrt_p","archetype","t_half_M1_h","identifiable"
"TraesNOR6B03G03536390",1.70984046528921,FALSE,TRUE,0.752290914097543,0.50728557349124,"concordant",77.0695004383182,TRUE
"TraesNOR6B03G03539220",-4.90611996863359,FALSE,TRUE,0.876106691403725,0.708203192290439,"kinetics_limited",432,FALSE
"TraesNOR6B03G03540180",-3.26900229273198,FALSE,TRUE,0.39650511079417,0.183465293537203,"kinetics_limited",432,FALSE
"TraesNOR6B03G03540290",5.06854644724297,TRUE,TRUE,1.0424116051136e-07,7.01137482020584e-09,"amplified",37.297698797593,TRUE
"TraesNOR6B03G03540330",-2.97390308358135,FALSE,TRUE,0.805736771158484,0.584897113391844,"kinetics_limited",432,FALSE
"TraesNOR6B03G03541300",2.50128067596113,TRUE,TRUE,0.000646120889740933,8.34108378692502e-05,"amplified",18.8878081407205,TRUE
"TraesNOR6B03G03541320",-2.72207107591049,TRUE,TRUE,0.000261473602102113,3.02577515904171e-05,"anticorrelated",51.2368307928365,FALSE
"TraesNOR6B03G03542310",3.28443058667275,FALSE,TRUE,0.280973086052805,0.115842169807001,"concordant",29.7291080300555,TRUE
"TraesNOR6B03G03547290",-386.69240048915,FALSE,FALSE,4.80933488918606e-62,1.6780001551725e-64,"protein_only",174.374555562148,FALSE
"TraesNOR6B03G03549880",7.05077788479357,FALSE,TRUE,0.68678565420311,0.420928471445785,"kinetic_lag",432,TRUE
"TraesNOR6B03G03551380",-13.4674519286305,FALSE,FALSE,0.495930211254195,0.254118633587953,"unchanged",432,FALSE
"TraesNOR6B03G03552210",-1.68255340959891,TRUE,TRUE,0.0362480607075864,0.00889691934109811,"anticorrelated",12,FALSE
"TraesNOR6B03G03558180",0.340849309682966,FALSE,TRUE,0.374375150873009,0.170533360060394,"kinetic_lag",12,TRUE
"TraesNOR6B03G03560370",-16.6659660853155,FALSE,FALSE,0.730863265121688,0.475227539620902,"protein_only",432,TRUE
"TraesNOR6B03G03560840",0.787356104663886,FALSE,TRUE,0.80581548697292,0.585735234764189,"concordant",12,TRUE
"TraesNOR6B03G03561270",38.4381575117528,FALSE,FALSE,0.157280169800352,0.0550587297265817,"protein_only",432,TRUE
"TraesNOR6B03G03564210",-8.30692934519226,FALSE,TRUE,0.900652424177635,0.755369829366723,"concordant",432,TRUE
"TraesNOR6B03G03564490",4.9662988944818,FALSE,FALSE,0.265809055486716,0.108096026053718,"protein_only",12,TRUE
"TraesNOR6B03G03566520",-1.01989721241822,FALSE,FALSE,0.776136320229623,0.540391870956543,"unchanged",18.0501797427549,FALSE
"TraesNOR6B03G03567010",1.32919162712038,FALSE,TRUE,0.882331237688334,0.720710183294948,"concordant",12,TRUE
"TraesNOR6B03G03569340",24.3279784583988,TRUE,TRUE,0.0265466176174437,0.00608735193670012,"amplified",432,TRUE
"TraesNOR6B03G03575010",-9.17286981453984,FALSE,FALSE,0.930426575211324,0.832790894636113,"protein_only",432,TRUE
"TraesNOR6B03G03576650",0.383452071134564,FALSE,TRUE,0.579006895059106,0.31788984115848,"kinetics_limited",12,FALSE
"TraesNOR6B03G03579860",3.27780870998605,FALSE,TRUE,0.0787546874498188,0.022898242135051,"concordant",39.0285187748384,TRUE
"TraesNOR6B03G03580370",10.0491576178979,FALSE,TRUE,0.428238733711572,0.204863964876945,"kinetic_lag",432,TRUE
"TraesNOR6B03G03582870",255.597044167712,FALSE,FALSE,0.0678954590029737,0.0189380820905755,"protein_only",432,TRUE
"TraesNOR6B03G03582970",0.839153304069617,FALSE,TRUE,0.972575360814205,0.926953488878358,"concordant",15.7536588324337,TRUE
"TraesNOR6B03G03583590",-1.87388777637147,TRUE,TRUE,1.50787251456943e-06,1.14573759587365e-07,"anticorrelated",12,FALSE
"TraesNOR6B03G03583670",7.13028951317085,FALSE,TRUE,0.929763165167733,0.830721575018618,"kinetic_lag",432,TRUE
"TraesNOR6B03G03583970",50.6158432081711,FALSE,FALSE,0.125358323359804,0.0411381355782414,"protein_only",152.188914267514,TRUE
"TraesNOR6B03G03587300",64.7580516805727,FALSE,FALSE,0.00801193960023173,0.00146137529827836,"protein_only",432,TRUE
"TraesNOR6B03G03587580",1.71174101775171,FALSE,TRUE,0.547559689982272,0.292353750971956,"concordant",44.7179786278566,TRUE
"TraesNOR6B03G03589560",4.52381354582001,FALSE,FALSE,0.548422696054771,0.293930752973724,"unchanged",51.2368307928365,TRUE
"TraesNOR6B03G03589640",-2.13071450078693,FALSE,FALSE,0.0276818041508131,0.00639058514123249,"protein_only",12,FALSE
"TraesNOR6B03G03589810",-3.84586748368707,FALSE,TRUE,0.268491603610954,0.109395105793802,"kinetics_limited",24.7960071284479,FALSE
"TraesNOR6B03G03591400",-0.174707387161957,FALSE,TRUE,0.64969922186108,0.380786634616569,"kinetics_limited",12,FALSE
"TraesNOR6B03G03591860",0.810066906277709,FALSE,TRUE,0.541987702042522,0.288065570653343,"concordant",12,TRUE
"TraesNOR6B03G03592010",5.920404156048,TRUE,TRUE,9.26137576509854e-28,1.41819865369797e-29,"amplified",12,TRUE
