"uid","feature","block","cluster","comp","sign"
"prot__TraesNOR4B03G02425370","TraesNOR4B03G02425370","protein","C2-",2,"negative"
"prot__TraesNOR4B03G02427420","TraesNOR4B03G02427420","protein","C1-",1,"negative"
"prot__TraesNOR4B03G02430050","TraesNOR4B03G02430050","protein","C2+",2,"positive"
"prot__TraesNOR4B03G02430340","TraesNOR4B03G02430340","protein","C2-",2,"negative"
"prot__TraesNOR4D03G02431830","TraesNOR4D03G02431830","protein","C2+",2,"positive"
"prot__TraesNOR4D03G02431880","TraesNOR4D03G02431880","protein","C1-",1,"negative"
"prot__TraesNOR4D03G02432100","TraesNOR4D03G02432100","protein","C2+",2,"positive"
"prot__TraesNOR4D03G02432110","TraesNOR4D03G02432110","protein","C1-",1,"negative"
"prot__TraesNOR4D03G02432380","TraesNOR4D03G02432380","protein","C2+",2,"positive"
"prot__TraesNOR4D03G02432790","TraesNOR4D03G02432790","protein","C1-",1,"negative"
"prot__TraesNOR4D03G02433140","TraesNOR4D03G02433140","protein","C1-",1,"negative"
"prot__TraesNOR4D03G02433570","TraesNOR4D03G02433570","protein","C2+",2,"positive"
"prot__TraesNOR4D03G02435270","TraesNOR4D03G02435270","protein","C2-",2,"negative"
"prot__TraesNOR4D03G02435310","TraesNOR4D03G02435310","protein","C2+",2,"positive"
"prot__TraesNOR4D03G02435760","TraesNOR4D03G02435760","protein","C2+",2,"positive"
"prot__TraesNOR4D03G02435850","TraesNOR4D03G02435850","protein","C1-",1,"negative"
"prot__TraesNOR4D03G02435910","TraesNOR4D03G02435910","protein","C1+",1,"positive"
"prot__TraesNOR4D03G02436620","TraesNOR4D03G02436620","protein","C2-",2,"negative"
"prot__TraesNOR4D03G02437280","TraesNOR4D03G02437280","protein","C2-",2,"negative"
"prot__TraesNOR4D03G02438570","TraesNOR4D03G02438570","protein","C1+",1,"positive"
"prot__TraesNOR4D03G02438850","TraesNOR4D03G02438850","protein","C2+",2,"positive"
"prot__TraesNOR4D03G02438940","TraesNOR4D03G02438940","protein","C2+",2,"positive"
"prot__TraesNOR4D03G02439540","TraesNOR4D03G02439540","protein","C2+",2,"positive"
"prot__TraesNOR4D03G02439560","TraesNOR4D03G02439560","protein","C2+",2,"positive"
"prot__TraesNOR4D03G02439900","TraesNOR4D03G02439900","protein","C1-",1,"negative"
"prot__TraesNOR4D03G02440310","TraesNOR4D03G02440310","protein","C2+",2,"positive"
"prot__TraesNOR4D03G02440890","TraesNOR4D03G02440890","protein","C1-",1,"negative"
"prot__TraesNOR4D03G02440970","TraesNOR4D03G02440970","protein","C2+",2,"positive"
"prot__TraesNOR4D03G02441090","TraesNOR4D03G02441090","protein","C2+",2,"positive"
"prot__TraesNOR4D03G02441620","TraesNOR4D03G02441620","protein","C1-",1,"negative"
"prot__TraesNOR4D03G02441690","TraesNOR4D03G02441690","protein","C2-",2,"negative"
"prot__TraesNOR4D03G02441750","TraesNOR4D03G02441750","protein","C2-",2,"negative"
"prot__TraesNOR4D03G02441990","TraesNOR4D03G02441990","protein","C2+",2,"positive"
"prot__TraesNOR4D03G02443760","TraesNOR4D03G02443760","protein","C1+",1,"positive"
"prot__TraesNOR4D03G02443810","TraesNOR4D03G02443810","protein","C2+",2,"positive"
"prot__TraesNOR4D03G02444900","TraesNOR4D03G02444900","protein","C1-",1,"negative"
"prot__TraesNOR4D03G02445100","TraesNOR4D03G02445100","protein","C2-",2,"negative"
"prot__TraesNOR4D03G02447860","TraesNOR4D03G02447860","protein","C2-",2,"negative"
"prot__TraesNOR4D03G02448270","TraesNOR4D03G02448270","protein","C2+",2,"positive"
"prot__TraesNOR4D03G02448600","TraesNOR4D03G02448600","protein","C1-",1,"negative"
"prot__TraesNOR4D03G02448760","TraesNOR4D03G02448760","protein","C2-",2,"negative"
"prot__TraesNOR4D03G02451220","TraesNOR4D03G02451220","protein","C1-",1,"negative"
"prot__TraesNOR4D03G02451700","TraesNOR4D03G02451700","protein","C1-",1,"negative"
"prot__TraesNOR4D03G02452410","TraesNOR4D03G02452410","protein","C1-",1,"negative"
"prot__TraesNOR4D03G02453710","TraesNOR4D03G02453710","protein","C2+",2,"positive"
"prot__TraesNOR4D03G02454460","TraesNOR4D03G02454460","protein","C2-",2,"negative"
"prot__TraesNOR4D03G02455460","TraesNOR4D03G02455460","protein","C2+",2,"positive"
"prot__TraesNOR4D03G02455860","TraesNOR4D03G02455860","protein","C2+",2,"positive"
"prot__TraesNOR4D03G02456010","TraesNOR4D03G02456010","protein","C2+",2,"positive"
"prot__TraesNOR4D03G02457400","TraesNOR4D03G02457400","protein","C2-",2,"negative"
"prot__TraesNOR4D03G02457770","TraesNOR4D03G02457770","protein","C1-",1,"negative"
"prot__TraesNOR4D03G02458580","TraesNOR4D03G02458580","protein","C1-",1,"negative"
"prot__TraesNOR4D03G02458920","TraesNOR4D03G02458920","protein","C2+",2,"positive"
"prot__TraesNOR4D03G02459950","TraesNOR4D03G02459950","protein","C2+",2,"positive"
"prot__TraesNOR4D03G02460070","TraesNOR4D03G02460070","protein","C1-",1,"negative"
"prot__TraesNOR4D03G02460890","TraesNOR4D03G02460890","protein","C1+",1,"positive"
"prot__TraesNOR4D03G02462090","TraesNOR4D03G02462090","protein","C2+",2,"positive"
"prot__TraesNOR4D03G02462260","TraesNOR4D03G02462260","protein","C1+",1,"positive"
"prot__TraesNOR4D03G02463800","TraesNOR4D03G02463800","protein","C1-",1,"negative"
"prot__TraesNOR4D03G02463920","TraesNOR4D03G02463920","protein","C2+",2,"positive"
"prot__TraesNOR4D03G02464470","TraesNOR4D03G02464470","protein","C1-",1,"negative"
"prot__TraesNOR4D03G02466020","TraesNOR4D03G02466020","protein","C1+",1,"positive"
"prot__TraesNOR4D03G02467290","TraesNOR4D03G02467290","protein","C1-",1,"negative"
"prot__TraesNOR4D03G02467470","TraesNOR4D03G02467470","protein","C2+",2,"positive"
"prot__TraesNOR4D03G02469710","TraesNOR4D03G02469710","protein","C1-",1,"negative"
"prot__TraesNOR4D03G02469990","TraesNOR4D03G02469990","protein","C2+",2,"positive"
"prot__TraesNOR4D03G02470920","TraesNOR4D03G02470920","protein","C1-",1,"negative"
"prot__TraesNOR4D03G02472970","TraesNOR4D03G02472970","protein","C1-",1,"negative"
"prot__TraesNOR4D03G02473550","TraesNOR4D03G02473550","protein","C1-",1,"negative"
"prot__TraesNOR4D03G02474060","TraesNOR4D03G02474060","protein","C1-",1,"negative"
"prot__TraesNOR4D03G02474110","TraesNOR4D03G02474110","protein","C2+",2,"positive"
"prot__TraesNOR4D03G02474750","TraesNOR4D03G02474750","protein","C2+",2,"positive"
"prot__TraesNOR4D03G02474890","TraesNOR4D03G02474890","protein","C1-",1,"negative"
